coef,vars,coef_abs
1.5649459181767298,Brand_Samyang Foods,1.5649459181767298
1.2681857255167004,shoyu,1.2681857255167004
1.2651873240785507,Brand_Kabuto Noodles,1.2651873240785507
1.198119300736054,yum,1.198119300736054
1.1293006886436405,Country_Malaysia,1.1293006886436405
1.1024535853281041,Country_Indonesia,1.1024535853281041
1.1018107284225216,Brand_Dragonfly,1.1018107284225216
1.0931446280443882,Country_Singapore,1.0931446280443882
1.0830336739373123,Brand_Tseng Noodles,1.0830336739373123
1.0699045369878788,Brand_Kang Shi Fu,1.0699045369878788
0.9932382376710469,Brand_TTL,0.9932382376710469
0.9932382376710469,Brand_Wugudaochang,0.9932382376710469
0.9917403812134636,Brand_Wu-Mu,0.9917403812134636
0.9684478342524965,Brand_Rooster,0.9684478342524965
0.9517329824023497,Brand_Mike's Mighty Good Craft Ramen,0.9517329824023497
0.8870096698615191,Brand_Tasty Bite,0.8870096698615191
0.8813137963919575,Brand_Yamachan,0.8813137963919575
0.8650868054306605,Brand_Yamamoto Seifun,0.8650868054306605
0.860808481654824,Brand_MAMA,0.860808481654824
0.8453160680300208,Brand_Ruski,0.8453160680300208
